"Index","Carrier","Year","Service category","Request","Code type","Code","Description of service","Number of requests per code","Approval rate","Initially denied then approved - approval rate","Expedited - Avg response time","Standard - Avg response time","Extenuating circumstances - Avg response time","Expedited - Number of requests","Standard - Number of requests","Extenuating circumstances - Number of requests","Drug name","Drug brand names"
"9081","Carrier G","2024","DME","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","E1390","O2 CONC 1 DEL PORT 85 PCT  OR GT 02 CONC AT PRSC FLW RATE","6","100%",,,,,,"6",,"NA","NA"
"9082","Carrier G","2024","DME","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","K0738","PORTABLE GASEOUS O2 SYS RENTAL; HOME COMPRESSOR","5","100%",,,,,,"5",,"NA","NA"
"9083","Carrier G","2024","DME","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","L0650","LSO SAGITTAL-CORONAL CONTRL RIGD ANT POST PANELS","1","100%",,,,,,"1",,"NA","NA"
"9084","Carrier G","2024","DME","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","L3933","FINGER ORTHOSIS W/O JOINTS CUSTOM FABRICATED","1","100%",,,,,,"1",,"NA","NA"
"9085","Carrier G","2024","DME","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","A4649","SURGICAL SUPPLY; MISCELLANEOUS","1","100%",,,,,,"1",,"NA","NA"
"9086","Carrier G","2024","DME","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","E2298","COMPLEX REHAB PWR WC ACC PWR SEAT EL SYS ANY TYP","1","100%",,,,,,"1",,"NA","NA"
"9087","Carrier G","2024","DME","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","E1390","O2 CONC 1 DEL PORT 85 PCT  OR GT 02 CONC AT PRSC FLW RATE","6","100%",,,,,,"6",,"NA","NA"
"9088","Carrier G","2024","DME","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","K0738","PORTABLE GASEOUS O2 SYS RENTAL; HOME COMPRESSOR","5","100%",,,,,,"5",,"NA","NA"
"9089","Carrier G","2024","DME","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","L0650","LSO SAGITTAL-CORONAL CONTRL RIGD ANT POST PANELS","1","100%",,,,,,"1",,"NA","NA"
"9090","Carrier G","2024","DME","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","L3933","FINGER ORTHOSIS W/O JOINTS CUSTOM FABRICATED","1","100%",,,,,,"1",,"NA","NA"
"9091","Carrier G","2024","DME","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","A4649","SURGICAL SUPPLY; MISCELLANEOUS","1","100%",,,,,,"1",,"NA","NA"
"9092","Carrier G","2024","DME","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","E2298","COMPLEX REHAB PWR WC ACC PWR SEAT EL SYS ANY TYP","1","100%",,,,,,"1",,"NA","NA"
"9093","Carrier G","2024","Prescription Drugs","Codes with the highest total number of prior authorization requests during the previous plan year","GPI10","NA","NA","1,124","89.8%",,"11.1","20.9",,"325","799",,"AMPHETAMINE/DEXTROAMPHETAMINE","ADDERALL"
"9094","Carrier G","2024","Prescription Drugs","Codes with the highest total number of prior authorization requests during the previous plan year","GPI10","NA","NA","868","51.4%",,"22.6","65.4",,"237","631",,"DEXCOM Receiver/Sensor/Transmiter","DEXCOM Receiver/Sensor/Transmiter"
"9095","Carrier G","2024","Prescription Drugs","Codes with the highest total number of prior authorization requests during the previous plan year","GPI10","NA","NA","526","51.3%",,"18.7","38.8",,"91","435",,"SEMAGLUTIDE","OZEMPIC"
"9096","Carrier G","2024","Prescription Drugs","Codes with the highest total number of prior authorization requests during the previous plan year","GPI10","NA","NA","468","82.5%",,"14.3","24.2",,"130","338",,"METHYLPHENIDATE HCL","RITALIN"
"9097","Carrier G","2024","Prescription Drugs","Codes with the highest total number of prior authorization requests during the previous plan year","GPI10","NA","NA","381","52%",,"27.7","59.9",,"100","281",,"LISDEXAMFETAMINE DIMESYLATE","VYVANSE"
"9098","Carrier G","2024","Prescription Drugs","Codes with the highest total number of prior authorization requests during the previous plan year","GPI10","NA","NA","290","73.1%",,"13.4","30.6",,"82","208",,"ADALIMUMAB","HUMIRA"
"9099","Carrier G","2024","Prescription Drugs","Codes with the highest total number of prior authorization requests during the previous plan year","GPI10","NA","NA","211","46.4%",,"32.1","62.6",,"10","201",,"TRETINOIN","RETIN-A"
"9100","Carrier G","2024","Prescription Drugs","Codes with the highest total number of prior authorization requests during the previous plan year","GPI10","NA","NA","199","24.1%",,"40.6","61.7",,"37","162",,"TERZEPATIDE","MOUNJARO"
"9101","Carrier G","2024","Prescription Drugs","Codes with the highest total number of prior authorization requests during the previous plan year","GPI10","NA","NA","191","57.1%",,"28.7","42.7",,"6","185",,"TACROLIMUS","PROTOPIC"
"9102","Carrier G","2024","Prescription Drugs","Codes with the highest total number of prior authorization requests during the previous plan year","GPI10","NA","NA","189","79.4%",,"13.7","25.5",,"44","145",,"EMPAGLIFLOZIN","JARDIANCE"
"9103","Carrier G","2024","Prescription Drugs","Codes with the highest percentage of approved prior authorization requests during the previous plan year","GPI10","NA","NA","22","100%",,"8.6","17.6",,"6","16",,"PANCRELIPASE","CREON"
"9104","Carrier G","2024","Prescription Drugs","Codes with the highest percentage of approved prior authorization requests during the previous plan year","GPI10","NA","NA","21","100%",,"1.4","28",,"2","19",,"GUSELKUMAB","TREMFYA"
"9105","Carrier G","2024","Prescription Drugs","Codes with the highest percentage of approved prior authorization requests during the previous plan year","GPI10","NA","NA","16","100%",,"4.3","1.2",,"11","5",,"CENOBAMATE","XCORPI"
"9106","Carrier G","2024","Prescription Drugs","Codes with the highest percentage of approved prior authorization requests during the previous plan year","GPI10","NA","NA","10","100%",,"12.1","14.1",,"3","7",,"CARBIDOPA/LEVODOPA","RYTARY"
"9107","Carrier G","2024","Prescription Drugs","Codes with the highest percentage of approved prior authorization requests during the previous plan year","GPI10","NA","NA","10","100%",,"11.6","17.2",,"3","7",,"AMBRISENTAN","LETAIRIS"
"9108","Carrier G","2024","Prescription Drugs","Codes with the highest percentage of approved prior authorization requests during the previous plan year","GPI10","NA","NA","9","100%",,"9.8","7.3",,"4","5",,"PALIPERIDONE","INVEGA"
"9109","Carrier G","2024","Prescription Drugs","Codes with the highest percentage of approved prior authorization requests during the previous plan year","GPI10","NA","NA","9","100%",,"11.5","28.4",,"5","4",,"LORAZEPAM","ATIVAN"
"9110","Carrier G","2024","Prescription Drugs","Codes with the highest percentage of approved prior authorization requests during the previous plan year","GPI10","NA","NA","8","100%",,"3","21.1",,"2","6",,"VILOXAZINE","QELBREE"
"9111","Carrier G","2024","Prescription Drugs","Codes with the highest percentage of approved prior authorization requests during the previous plan year","GPI10","NA","NA","8","100%",,"2.8","34.6",,"6","2",,"AZALABRUTINIB","CALQUENCE"
"9112","Carrier G","2024","Prescription Drugs","Codes with the highest percentage of approved prior authorization requests during the previous plan year","GPI10","NA","NA","7","100%",,"12","6.7",,"4","3",,"LINEZOLID","ZYVOX"
"9113","Carrier G","2024","Prescription Drugs","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","GPI10","NA","NA","6",,"0.69%",,,,"0","8",,"DEXCOM Receiver/Sensor/Transmiter","DEXCOM Receiver/Sensor/Transmiter"
"9114","Carrier G","2024","Prescription Drugs","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","GPI10","NA","NA","3",,"0.57%",,,,"0","5",,"SEMAGLUTIDE","OZEMPIC"
"9115","Carrier G","2024","Prescription Drugs","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","GPI10","NA","NA","2",,"0.52%",,,,"0","3",,"LISDEXAMFETAMINE DIMESYLATE","VYVANSE"
"9116","Carrier G","2024","Prescription Drugs","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","GPI10","NA","NA","2",,"0.69%",,,,"0","3",,"ADALIMUMAB","HUMIRA"
"9117","Carrier G","2024","Prescription Drugs","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","GPI10","NA","NA","1",,"0.47%",,,,"0","1",,"TRETINOIN","RETIN-A"
"9118","Carrier G","2024","Prescription Drugs","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","GPI10","NA","NA","1",,"0.5%",,,,"0","3",,"TERZEPATIDE","MOUNJARO"
"9119","Carrier K","2024","Inpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","64405","Injection(s), anesthetic agent(s) and/or steroid; greater occipital nerve","5","0%",,,"48.66",,"0","5",,"NA","NA"
"9120","Carrier K","2024","Inpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","64483","Injection(s), anesthetic agent(s) and/or steroid; transforaminal epidural, with imaging guidance (fluoroscopy or CT), lumbar or sacral, single level","5","80%",,,"21.52",,"0","5",,"NA","NA"
"9121","Carrier K","2024","Inpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","67900","Repair of brow ptosis (supraciliary, mid-forehead or coronal approach)","4","100%",,,"54.55",,"0","4",,"NA","NA"
"9122","Carrier K","2024","Inpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","E2370","Power wheelchair component, integrated drive wheel motor and gear box combination, replacement only","3","66.67%",,,"95.23",,"0","2",,"NA","NA"
"9123","Carrier K","2024","Inpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","14301","Adjacent tissue transfer or rearrangement, any area; defect 30.1 sq cm to 60.0 sq cm","2","100%",,,"54.55",,"0","2",,"NA","NA"
"9124","Carrier K","2024","Inpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","14302","Adjacent tissue transfer or rearrangement, any area; each additional 30.0 sq cm, or part thereof","2","100%",,,"54.55",,"0","2",,"NA","NA"
"9125","Carrier K","2024","Inpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","15773","Grafting of autologous fat harvested by liposuction technique to face, eyelids, mouth, neck, ears, orbits, genitalia, hands, and/or feet; 25 cc or less injectate","2","100%",,,"54.55",,"0","2",,"NA","NA"
"9126","Carrier K","2024","Inpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","15774","Grafting of autologous fat harvested by liposuction technique to face, eyelids, mouth, neck, ears, orbits, genitalia, hands, and/or feet; each additional 25 cc injectate, or part thereof","2","100%",,,"54.55",,"0","2",,"NA","NA"
"9127","Carrier K","2024","Inpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","21089","Unlisted maxillofacial prosthetic procedure","2","50%",,,"34.95",,"0","2",,"NA","NA"
"9128","Carrier K","2024","Inpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","21139","Reduction forehead; contouring and setback of anterior frontal sinus wall�","2","100%",,,"54.55",,"0","2",,"NA","NA"
"9129","Carrier K","2024","Inpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","21175","Reconstruction, bifrontal, superior-lateral orbital rims and lower forehead, advancement or alteration (eg, plagiocephaly, trigonocephaly, brachycephaly), with or without grafts","2","100%",,,"54.55",,"0","2",,"NA","NA"
"9130","Carrier K","2024","Inpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","30117","Excision or destruction (eg, laser), intranasal lesion; internal approach","2","100%",,,"143.3",,"0","2",,"NA","NA"
"9131","Carrier K","2024","Inpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","30140","Submucous resection inferior turbinate, partial or complete, any method","2","100%",,,"143.3",,"0","2",,"NA","NA"
"9132","Carrier K","2024","Inpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","64484","Injection(s), anesthetic agent(s) and/or steroid; transforaminal epidural, with imaging guidance (fluoroscopy or CT), lumbar or sacral, each additional level","2","100%",,,"12.9",,"0","2",,"NA","NA"
"9133","Carrier K","2024","Inpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","J9039","Injection, blinatumomab, 1 microgram","2","100%",,,"34.1",,"1","1",,"NA","NA"
"9134","Carrier K","2024","Inpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","K0108","Wheelchair component or accessory, not otherwise specified","2","50%",,,"132.85",,"0","2",,"NA","NA"
"9135","Carrier K","2024","Inpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","K0739","Repair or nonroutine service for durable medical equipment other than oxygen equipment requiring the skill of a technician, labor component, per 15 minutes","2","50%",,,"132.85",,"0","2",,"NA","NA"
"9136","Carrier K","2024","Inpatient Med-Surg","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","67900","Repair of brow ptosis (supraciliary, mid-forehead or coronal approach)","4","100%",,,"54.55",,"0","4",,"NA","NA"
